,medline,pubmed,doi,rid,eid,pmc,pmcid,pii,mid
0,[],['27388676'],10.14573/altex.1605041,27388676,27388676,,,,
1,[],['28457165'],10.1089/ars.2016.6959,28457165,28457165,PMC5678362,pmc-id: PMC5678362;,,
2,[],['30532991'],10.1152/ajpendo.00229.2018,30532991,30532991,PMC6397359,pmc-id: PMC6397359;,,
3,[],['27660629'],10.3389/fmicb.2016.01506,27660629,27660629,PMC5030229,pmc-id: PMC5030229;,,
4,[],['26244554'],10.1371/journal.pone.0133322,26244554,26244554,PMC4526543,pmc-id: PMC4526543;,PONE-D-15-13142,
5,[],['24256874'],10.3727/096368913X675142,24256874,24256874,,,content-ct1131,
6,[],['28708834'],10.1371/journal.pone.0180825,28708834,28708834,PMC5510837,pmc-id: PMC5510837;,PONE-D-17-12560,
7,[],['29629900'],10.1172/JCI91646,29629900,29629900,PMC5919881,pmc-id: PMC5919881;,91646,
8,[],['27411715'],10.1038/srep29334,27411715,27411715,PMC4944143,pmc-id: PMC4944143;,srep29334,
9,[],['27530326'],10.1158/0008-5472.CAN-16-1272,27530326,27530326,PMC5802386,pmc-id: PMC5802386;manuscript-id: EMS76106;,0008-5472.CAN-16-1272,EMS76106
10,[],['27732649'],10.1371/journal.pone.0164407,27732649,27732649,PMC5061422,pmc-id: PMC5061422;,PONE-D-16-11253,
11,[],['27265504'],10.1016/j.ccell.2016.04.014,27265504,27265504,PMC4912354,pmc-id: PMC4912354;,S1535-6108(16)30203-3,
12,[],['27197157'],10.1158/0008-5472.CAN-15-3174,27197157,27197157,,,0008-5472.CAN-15-3174,
13,[],['27471257'],10.1242/dev.139113,27471257,27471257,PMC5047675,pmc-id: PMC5047675;,dev.139113,
14,[],['26219822'],10.1016/j.mce.2015.07.024,26219822,26219822,,,S0303-7207(15)30031-9,
15,[],['27750381'],10.1002/ijc.30472,27750381,27750381,,,,
16,[],['27502280'],10.1074/jbc.M116.749291,27502280,27502280,PMC5034057,pmc-id: PMC5034057;,M116.749291,
17,[],['27797821'],10.15252/embj.201694660,27797821,27797821,PMC5210160,pmc-id: PMC5210160;,embj.201694660,
18,[],['27487841'],10.1186/s12864-016-2840-x,27487841,27487841,PMC4972977,pmc-id: PMC4972977;,10.1186/s12864-016-2840-x,
19,[],['29599523'],10.1038/s41396-018-0094-0,29599523,29599523,PMC5955879,pmc-id: PMC5955879;,10.1038/s41396-018-0094-0,
20,[],['29593116'],10.1098/rsob.170134,29593116,29593116,PMC5881030,pmc-id: PMC5881030;,rsob.170134,
21,[],['27421871'],10.1093/intimm/dxw034,27421871,27421871,,,dxw034,
22,[],['27757418'],10.1126/sciadv.1600760,27757418,27757418,PMC5061470,pmc-id: PMC5061470;,1600760,
23,[],['32068780'],10.1182/blood.2019002922,32068780,32068780,PMC7146021,pmc-id: PMC7146021;embargo-date: 2021/04/09;,452517,
24,[],['29515032'],10.1172/jci.insight.97011,29515032,29515032,PMC5922296,pmc-id: PMC5922296;,97011,
25,[],['25035401'],10.1105/tpc.114.127282,25035401,25035401,PMC4145124,pmc-id: PMC4145124;,tpc.114.127282,
26,[],['25740602'],10.1016/j.leukres.2015.01.010,25740602,25740602,,,S0145-2126(15)00027-2,
27,[],['26984142'],10.1093/infdis/jiw108,26984142,26984142,,,jiw108,
28,[],['27748765'],10.1038/onc.2016.382,27748765,27748765,PMC5245767,pmc-id: PMC5245767;manuscript-id: EMS69792;,onc2016382,EMS69792
29,[],['28808314'],10.1038/s41598-017-08515-8,28808314,28808314,PMC5556115,pmc-id: PMC5556115;,10.1038/s41598-017-08515-8,
30,[],['28638988'],10.1007/s00401-017-1743-5,28638988,28638988,PMC5645447,pmc-id: PMC5645447;,10.1007/s00401-017-1743-5,
31,[],['29523801'],10.1038/s41598-018-21991-w,29523801,29523801,PMC5844870,pmc-id: PMC5844870;,10.1038/s41598-018-21991-w,
32,[],['27470139'],10.1038/srep30484,27470139,27470139,PMC4965761,pmc-id: PMC4965761;,srep30484,
33,[],['30518599'],10.1084/jem.20181483,30518599,30518599,PMC6314520,pmc-id: PMC6314520;,jem.20181483,
34,[],['30518599'],10.1084/jem.20181483,30518599,30518599,PMC6314520,pmc-id: PMC6314520;,jem.20181483,
35,[],['26996597'],10.1016/j.stem.2016.01.024,26996597,26996597,,,S1934-5909(16)00062-X,
36,[],['28693422'],10.1186/s12870-017-1062-y,28693422,28693422,PMC5504741,pmc-id: PMC5504741;,10.1186/s12870-017-1062-y,
37,[],['27773482'],10.1016/j.cell.2016.09.050,27773482,27773482,,,S0092-8674(16)31335-6,
38,[],['27140681'],10.1016/j.cellsig.2016.04.011,27140681,27140681,PMC4913618,pmc-id: PMC4913618;,S0898-6568(16)30097-3,
39,[],['27167114'],10.18632/oncotarget.9202,27167114,27167114,PMC5095001,pmc-id: PMC5095001;,9202,
40,[],['27355326'],10.1371/journal.pone.0158467,27355326,27355326,PMC4927100,pmc-id: PMC4927100;,PONE-D-15-47750,
41,[],['27234253'],10.1007/s12011-016-0756-6,27234253,27234253,,,10.1007/s12011-016-0756-6,
42,[],['27418678'],10.1093/nar/gkw640,27418678,27418678,PMC5009757,pmc-id: PMC5009757;,gkw640,
43,[],['29156079'],10.14573/altex.1701101,29156079,29156079,,,,
44,[],['27780782'],10.1016/j.molp.2016.10.010,27780782,27780782,,,S1674-2052(16)30235-0,
45,[],['28848232'],10.1038/s41467-017-00239-7,28848232,28848232,PMC5573727,pmc-id: PMC5573727;,10.1038/s41467-017-00239-7,
46,[],['29728652'],10.1038/s41594-018-0058-0,29728652,29728652,PMC6086329,pmc-id: PMC6086329;manuscript-id: EMS76823;,10.1038/s41594-018-0058-0,EMS76823
47,[],['27365498'],10.1093/hmg/ddw178,27365498,27365498,PMC5179927,pmc-id: PMC5179927;,ddw178,
48,[],['30150233'],10.1128/JB.00428-18,30150233,30150233,PMC6199481,pmc-id: PMC6199481;,JB.00428-18,
49,[],['27494721'],10.1016/j.ijcard.2016.07.103,27494721,27494721,,,S0167-5273(16)31455-3,
50,[],['26812355'],10.1016/j.gene.2016.01.036,26812355,26812355,PMC4767619,pmc-id: PMC4767619;manuscript-id: NIHMS754434;,S0378-1119(16)00098-6,NIHMS754434
51,[],['28536097'],10.1242/dev.146050,28536097,28536097,PMC5536864,pmc-id: PMC5536864;,dev.146050,
52,[],['29642016'],10.1016/j.celrep.2018.03.035,29642016,29642016,,,S2211-1247(18)30377-2,
53,[],['26173433'],10.1002/hep.27992,26173433,26173433,,,,
54,[],['27415776'],10.1371/journal.pgen.1006179,27415776,27415776,PMC4945094,pmc-id: PMC4945094;,PGENETICS-D-15-02754,
55,[],['29352173'],10.1038/s41598-018-19607-4,29352173,29352173,PMC5775324,pmc-id: PMC5775324;,10.1038/s41598-018-19607-4,
56,[],['28774882'],10.1534/genetics.117.300103,28774882,28774882,PMC5629341,pmc-id: PMC5629341;,genetics.117.300103,
57,[],['29097664'],10.1038/s41467-017-01374-x,29097664,29097664,PMC5668417,pmc-id: PMC5668417;,10.1038/s41467-017-01374-x,
