,0
0,27388676
1,28457165
2,30532991
3,27660629
4,
5,26244554
6,24256874
7,28708834
8,29629900
9,27411715
10,
11,
12,
13,27530326
14,27732649
15,27265504
16,27197157
17,27471257
18,
19,26219822
20,27750381
21,27502280
22,
23,27797821
24,27487841
25,29599523
26,29593116
27,27421871
28,27757418
29,32068780
30,
31,29515032
32,25035401
33,25740602
34,26984142
35,
36,27748765
37,28808314
38,28638988
39,29523801
40,27470139
41,30518599
42,30518599
43,26996597
44,28693422
45,27773482
46,27140681
47,27167114
48,27355326
49,27234253
50,27418678
51,29156079
52,27780782
53,28848232
54,29728652
55,27365498
56,30150233
57,27494721
58,26812355
59,
60,
61,28536097
62,
63,29642016
64,26173433
65,27415776
66,29352173
67,28774882
68,29097664
69,29519818
70,27088311
71,31693508
72,26991973
73,28295025
74,
75,27609421
76,27770554
77,27760051
78,29044509
79,27463808
80,28148693
81,
82,25620640
83,27739523
84,32727380
85,30116021
86,27629229
87,29467301
88,25239220
89,26808652
90,26699362
91,26934552
92,27298374
93,28073359
94,29652884
95,29506241
96,29520862
97,26824246
98,27003939
99,28634240
100,27255895
101,26154057
102,29896111
103,32153152
104,19605697
105,26537246
106,
107,27504807
108,
109,30564749
110,26868908
111,27306794
112,28451461
113,
114,29505817
115,
116,26575044
117,27411892
118,30498195
119,30571766
120,28346228
121,28494505
122,29304067
123,27508877
124,
125,27492371
126,30846445
127,31056439
128,30487605
129,26856319
130,29562936
131,27348591
132,25367296
133,
134,29118719
135,30487605
136,
137,31321487
138,31444353
139,28789929
140,27969000
141,27009811
142,27512997
143,27474798
144,30382170
145,33102421
146,25831522
147,26247464
148,29372424
149,29588408
150,27404394
151,28081447
152,27349964
153,31349311
154,26786712
155,27992856
156,
157,27733515
158,27426519
159,27242683
160,27398095
161,
162,24646080
163,27730210
164,29052586
165,29052586
166,26938745
167,27446194
168,27384960
169,
170,27377824
171,27329140
172,
173,27553638
174,27346350
175,26819411
176,29547002
177,29529262
178,29529262
179,27135738
180,31163399
181,30458881
182,
183,27334614
184,
185,
186,30664680
187,25669970
188,
189,27548914
190,24636259
191,27346580
192,27833533
193,29165655
194,
195,26990663
196,
197,27690130
198,26028217
199,30530468
200,30713794
201,26748418
202,29483921
203,30348666
204,
205,
206,27174990
207,31510649
208,
209,27226436
210,
211,27487209
212,29149845
213,29416069
214,29440250
215,
216,29500295
217,28504653
218,28431017
219,27091409
220,27707796
221,25359493
222,27898690
223,27239027
224,30179226
225,26951930
226,29500295
227,25720405
228,29472496
229,27123847
230,27090007
231,27461218
232,27348429
233,29228038
234,29922297
235,
236,27485166
237,26728635
238,27648579
239,30670740
240,27007052
241,26373670
242,29339786
243,
244,29165655
245,
246,
247,30722062
248,28512198
249,28852586
